"","playerId","question","truth","initial","final","valid","chatrooms","trial","trial_indx","pre_influence","post_influence","is_central","network","task","dataset","group_id","confidence","subject"
"1",1250,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,150000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"2",1668,"headphones",142770,80000,180000,TRUE,1,"22u5YpwA485h5dMwh1",1,80000,180000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"3",835,"headphones",142770,250000,NA,FALSE,1,"22u5YpwA485h5dMwh1",1,250000,NA,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"4",1641,"headphones",142770,300,250000,TRUE,1,"22u5YpwA485h5dMwh1",1,300,250000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"5",1860,"headphones",142770,350000,NA,FALSE,1,"22u5YpwA485h5dMwh1",1,350000,NA,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"6",206,"headphones",142770,180000,180000,TRUE,1,"22u5YpwA485h5dMwh1",1,180000,180000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"7",378,"headphones",142770,1e+05,75000,TRUE,1,"22u5YpwA485h5dMwh1",1,1e+05,75000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"8",1394,"headphones",142770,2e+05,2e+05,TRUE,1,"22u5YpwA485h5dMwh1",1,2e+05,2e+05,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"9",1142,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,150000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"10",1430,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,150000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"11",358,"headphones",142770,250000,250000,TRUE,1,"22u5YpwA485h5dMwh1",1,250000,250000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"12",536,"headphones",142770,NA,125000,FALSE,1,"22u5YpwA485h5dMwh1",1,NA,125000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"13",240,"headphones",142770,50000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,50000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"14",225,"headphones",142770,NA,3e+05,FALSE,1,"22u5YpwA485h5dMwh1",1,NA,3e+05,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"15",758,"headphones",142770,5e+05,3e+05,TRUE,1,"22u5YpwA485h5dMwh1",1,5e+05,3e+05,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"16",1426,"headphones",142770,75000,130000,TRUE,1,"22u5YpwA485h5dMwh1",1,75000,130000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"17",61,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,150000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"18",793,"headphones",142770,2000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,2000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"19",163,"headphones",142770,NA,NA,FALSE,1,"22u5YpwA485h5dMwh1",1,NA,NA,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"20",514,"headphones",142770,150000,150000,TRUE,1,"22u5YpwA485h5dMwh1",1,150000,150000,NA,"discussion","headphones","becker 2020","22u5YpwA485h5dMwh1",NA,NA
"21",394,"flights",41,125,125,TRUE,1,"2PQkSkH77w73F9h2y1",1,125,125,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"22",963,"flights",41,175,125000,TRUE,1,"2PQkSkH77w73F9h2y1",1,175,125000,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"23",692,"flights",41,NA,120,FALSE,1,"2PQkSkH77w73F9h2y1",1,NA,120,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"24",1928,"flights",41,90,100,TRUE,1,"2PQkSkH77w73F9h2y1",1,90,100,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"25",1346,"flights",41,2.56,250,TRUE,1,"2PQkSkH77w73F9h2y1",1,2.56,250,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"26",107,"flights",41,40,20,TRUE,1,"2PQkSkH77w73F9h2y1",1,40,20,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"27",1111,"flights",41,5,100,TRUE,1,"2PQkSkH77w73F9h2y1",1,5,100,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"28",614,"flights",41,55,70,TRUE,1,"2PQkSkH77w73F9h2y1",1,55,70,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"29",389,"flights",41,150,175,TRUE,1,"2PQkSkH77w73F9h2y1",1,150,175,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"30",1843,"flights",41,150,125,TRUE,1,"2PQkSkH77w73F9h2y1",1,150,125,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"31",1055,"flights",41,18,36,TRUE,1,"2PQkSkH77w73F9h2y1",1,18,36,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"32",157,"flights",41,35,40,TRUE,1,"2PQkSkH77w73F9h2y1",1,35,40,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"33",1717,"flights",41,425,425,TRUE,1,"2PQkSkH77w73F9h2y1",1,425,425,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"34",582,"flights",41,20,40,TRUE,1,"2PQkSkH77w73F9h2y1",1,20,40,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"35",738,"flights",41,84,84,TRUE,1,"2PQkSkH77w73F9h2y1",1,84,84,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"36",1182,"flights",41,300,36,TRUE,1,"2PQkSkH77w73F9h2y1",1,300,36,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"37",566,"flights",41,NA,345,FALSE,1,"2PQkSkH77w73F9h2y1",1,NA,345,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"38",1643,"flights",41,3,3,TRUE,1,"2PQkSkH77w73F9h2y1",1,3,3,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"39",158,"flights",41,50,279,TRUE,1,"2PQkSkH77w73F9h2y1",1,50,279,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"40",1031,"flights",41,80,NA,FALSE,1,"2PQkSkH77w73F9h2y1",1,80,NA,NA,"discussion","flights","becker 2020","2PQkSkH77w73F9h2y1",NA,NA
"41",143,"yemen",609,4,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,4,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"42",568,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,1000,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"43",450,"yemen",609,300,300,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,300,300,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"44",1145,"yemen",609,700,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,700,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"45",510,"yemen",609,345,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,345,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"46",27,"yemen",609,500,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,500,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"47",1948,"yemen",609,343,850,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,343,850,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"48",185,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,1000,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"49",590,"yemen",609,678,1002,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,678,1002,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"50",625,"yemen",609,1500,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,1500,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"51",750,"yemen",609,750,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,750,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"52",611,"yemen",609,NA,1000,FALSE,1,"3NfZZkuKyMeWuSn7q1",1,NA,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"53",403,"yemen",609,700,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,700,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"54",1825,"yemen",609,NA,1000,FALSE,1,"3NfZZkuKyMeWuSn7q1",1,NA,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"55",1302,"yemen",609,700,1100,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,700,1100,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"56",1091,"yemen",609,850,925,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,850,925,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"57",1329,"yemen",609,950,975,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,950,975,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"58",1775,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,1000,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"59",202,"yemen",609,1000,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,1000,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"60",920,"yemen",609,800,1000,TRUE,1,"3NfZZkuKyMeWuSn7q1",1,800,1000,NA,"discussion","yemen","becker 2020","3NfZZkuKyMeWuSn7q1",NA,NA
"61",1274,"philly",570,858,858,TRUE,1,"4rBqFnfAQoCJYr93f1",1,858,858,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"62",1412,"philly",570,753,975,TRUE,2,"4rBqFnfAQoCJYr93f2",2,753,975,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"63",201,"philly",570,1067,1098,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1067,1098,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"64",465,"philly",570,804,950,TRUE,2,"4rBqFnfAQoCJYr93f2",2,804,950,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"65",363,"philly",570,1000,2000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1000,2000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"66",1554,"philly",570,873,1250,TRUE,1,"4rBqFnfAQoCJYr93f1",1,873,1250,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"67",408,"philly",570,1000,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1000,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"68",1920,"philly",570,1000,1150,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1000,1150,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"69",533,"philly",570,2000,1200,TRUE,1,"4rBqFnfAQoCJYr93f1",1,2000,1200,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"70",463,"philly",570,200,200,TRUE,2,"4rBqFnfAQoCJYr93f2",2,200,200,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"71",1595,"philly",570,1337,1305,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1337,1305,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"72",691,"philly",570,2500,1001,TRUE,2,"4rBqFnfAQoCJYr93f2",2,2500,1001,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"73",320,"philly",570,1000,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1000,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"74",971,"philly",570,1800,1350,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1800,1350,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"75",1604,"philly",570,1113,1200,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1113,1200,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"76",546,"philly",570,1000,900,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1000,900,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"77",1527,"philly",570,1000,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1000,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"78",819,"philly",570,2567,2300,TRUE,2,"4rBqFnfAQoCJYr93f2",2,2567,2300,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"79",1493,"philly",570,1300,1300,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1300,1300,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"80",164,"philly",570,1500,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1500,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"81",1609,"philly",570,1500,1150,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1500,1150,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"82",1639,"philly",570,775,1000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,775,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"83",1821,"philly",570,700,950,TRUE,1,"4rBqFnfAQoCJYr93f1",1,700,950,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"84",480,"philly",570,500,NA,FALSE,1,"4rBqFnfAQoCJYr93f1",1,500,NA,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"85",581,"philly",570,NA,1000,FALSE,2,"4rBqFnfAQoCJYr93f2",2,NA,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"86",247,"philly",570,800,1050,TRUE,1,"4rBqFnfAQoCJYr93f1",1,800,1050,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"87",212,"philly",570,1100,1100,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1100,1100,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"88",1137,"philly",570,850,1020,TRUE,2,"4rBqFnfAQoCJYr93f2",2,850,1020,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"89",1061,"philly",570,2000,950,TRUE,1,"4rBqFnfAQoCJYr93f1",1,2000,950,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"90",698,"philly",570,3000,1200,TRUE,1,"4rBqFnfAQoCJYr93f1",1,3000,1200,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"91",1919,"philly",570,1200,1200,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1200,1200,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"92",370,"philly",570,2500,1600,TRUE,1,"4rBqFnfAQoCJYr93f1",1,2500,1600,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"93",1,"philly",570,1330,1330,TRUE,1,"4rBqFnfAQoCJYr93f1",1,1330,1330,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"94",1630,"philly",570,675,850,TRUE,2,"4rBqFnfAQoCJYr93f2",2,675,850,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"95",1380,"philly",570,999,1000,TRUE,1,"4rBqFnfAQoCJYr93f1",1,999,1000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"96",694,"philly",570,900,850,TRUE,1,"4rBqFnfAQoCJYr93f1",1,900,850,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f1",NA,NA
"97",1645,"philly",570,2500,2000,TRUE,2,"4rBqFnfAQoCJYr93f2",2,2500,2000,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"98",1076,"philly",570,NA,NA,FALSE,2,"4rBqFnfAQoCJYr93f2",2,NA,NA,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"99",1103,"philly",570,2000,NA,FALSE,2,"4rBqFnfAQoCJYr93f2",2,2000,NA,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"100",1985,"philly",570,1500,1800,TRUE,2,"4rBqFnfAQoCJYr93f2",2,1500,1800,NA,"discussion","philly","becker 2020","4rBqFnfAQoCJYr93f2",NA,NA
"101",10,"education",7912,1200,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,1200,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"102",1286,"education",7912,1500,2000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,1500,2000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"103",1767,"education",7912,20000,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,20000,3000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"104",673,"education",7912,2000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,2000,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"105",1778,"education",7912,5500,4500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,5500,4500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"106",342,"education",7912,2000,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,2000,3000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"107",1569,"education",7912,4000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,4000,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"108",896,"education",7912,3000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,3000,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"109",1365,"education",7912,9500,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,9500,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"110",777,"education",7912,6000,5500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,6000,5500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"111",1310,"education",7912,2300,2300,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,2300,2300,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"112",1152,"education",7912,3000,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,3000,3000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"113",911,"education",7912,NA,4500,FALSE,1,"4WSepDZvwEFsS5vYQ1",1,NA,4500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"114",1403,"education",7912,8000,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,8000,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"115",1720,"education",7912,100,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,100,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"116",56,"education",7912,10000,10000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,10000,10000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"117",627,"education",7912,6500,3500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,6500,3500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"118",197,"education",7912,5000,5000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,5000,5000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"119",1749,"education",7912,300,3000,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,300,3000,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"120",892,"education",7912,4122,1500,TRUE,1,"4WSepDZvwEFsS5vYQ1",1,4122,1500,NA,"discussion","education","becker 2020","4WSepDZvwEFsS5vYQ1",NA,NA
"121",127,"education",7912,5000,6000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,5000,6000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"122",276,"education",7912,5000,5000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,5000,5000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"123",1049,"education",7912,4000,4000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,4000,4000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"124",466,"education",7912,4000,4000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,4000,4000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"125",804,"education",7912,500,3500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,500,3500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"126",50,"education",7912,2000,3500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,2000,3500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"127",63,"education",7912,4000,4000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,4000,4000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"128",2,"education",7912,6500,5000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,6500,5000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"129",1672,"education",7912,8000,4500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,8000,4500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"130",995,"education",7912,2000,3500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,2000,3500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"131",521,"education",7912,5000,5000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,5000,5000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"132",307,"education",7912,3000,3500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,3000,3500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"133",542,"education",7912,4000,4000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,4000,4000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"134",226,"education",7912,2500,NA,FALSE,1,"4zcNNMsMsfu2JPYyP1",2,2500,NA,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"135",1132,"education",7912,6500,4800,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,6500,4800,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"136",1470,"education",7912,7500,4250,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,7500,4250,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"137",1667,"education",7912,5000,5000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,5000,5000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"138",162,"education",7912,2500,5000,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,2500,5000,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"139",1589,"education",7912,5000,5500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,5000,5500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"140",1260,"education",7912,3000,3500,TRUE,1,"4zcNNMsMsfu2JPYyP1",2,3000,3500,NA,"discussion","education","becker 2020","4zcNNMsMsfu2JPYyP1",NA,NA
"141",1705,"picasso",29.6,5,29,TRUE,2,"6D4oEx4a8r8HoawbJ2",2,5,29,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ2",NA,NA
"142",1374,"picasso",29.6,25,50,TRUE,1,"6D4oEx4a8r8HoawbJ1",1,25,50,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ1",NA,NA
"143",1415,"picasso",29.6,2.5,115,TRUE,1,"6D4oEx4a8r8HoawbJ1",1,2.5,115,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ1",NA,NA
"144",1482,"picasso",29.6,1.85,28,TRUE,2,"6D4oEx4a8r8HoawbJ2",2,1.85,28,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ2",NA,NA
"145",38,"picasso",29.6,NA,25,FALSE,2,"6D4oEx4a8r8HoawbJ2",2,NA,25,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ2",NA,NA
"146",332,"picasso",29.6,25,29.6,TRUE,2,"6D4oEx4a8r8HoawbJ2",2,25,29.6,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ2",NA,NA
"147",992,"picasso",29.6,2.2,55,TRUE,1,"6D4oEx4a8r8HoawbJ1",1,2.2,55,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ1",NA,NA
"148",1307,"picasso",29.6,45,29,TRUE,2,"6D4oEx4a8r8HoawbJ2",2,45,29,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ2",NA,NA
"149",1368,"picasso",29.6,75,29.6,TRUE,1,"6D4oEx4a8r8HoawbJ1",1,75,29.6,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ1",NA,NA
"150",1001,"picasso",29.6,2,30,TRUE,1,"6D4oEx4a8r8HoawbJ1",1,2,30,NA,"discussion","picasso","becker 2020","6D4oEx4a8r8HoawbJ1",NA,NA
